file_name,event,vtx_r,vtx_t,matched_true_signal
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000879.CAF.root,15,2,4,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000879.CAF.root,42,1,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000879.CAF.root,92,1,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000879.CAF.root,98,2,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000879.CAF.root,130,1,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000617.CAF.root,46,1,1,0
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000113.CAF.root,4,1,0,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000113.CAF.root,49,4,3,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000113.CAF.root,76,3,5,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000113.CAF.root,111,2,2,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000113.CAF.root,117,2,2,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000178.CAF.root,15,2,2,1
